open_time,close,volume,trades
2026-08-04 10:00:00,63683.94,1052.90355,199185
2026-08-04 11:00:00,64128.72,879.92592,223460
2026-08-04 12:00:00,64125.14,876.1178,168304
2026-08-04 13:00:00,63950.93,546.40306,114320
2026-08-04 14:00:00,63972.09,719.77508,137455
2026-08-04 15:00:00,64305.99,693.34672,148693
2026-08-04 16:00:00,64233.36,534.82384,97542
2026-08-04 17:00:00,64341.0,558.35238,96909
2026-08-04 18:00:00,64194.0,220.73608,60932
2026-08-04 19:00:00,64270.61,181.53234,44926
2026-08-04 20:00:00,64106.56,551.91443,104204
2026-08-04 21:00:00,63988.0,649.78599,87408
2026-08-04 22:00:00,64333.84,393.02738,78725
2026-08-04 23:00:00,64368.26,562.72054,115810
2026-08-05 00:00:00,64183.27,445.73851,91878
2026-08-05 01:00:00,64176.7,184.21473,47086
2026-08-05 02:00:00,64330.87,480.37923,68876
2026-08-05 03:00:00,64253.58,396.58374,49970
2026-08-05 04:00:00,64163.99,577.00898,74493
2026-08-05 05:00:00,64120.81,335.28683,63070
2026-08-05 06:00:00,64155.05,184.00109,43523
2026-08-05 07:00:00,64062.23,387.90421,73702
2026-08-05 08:00:00,64075.28,258.58817,57896
2026-08-05 09:00:00,64332.43,1037.97436,130336
2026-08-05 10:00:00,64407.99,1022.29322,222352
2026-08-05 11:00:00,64476.39,1047.50709,283723
2026-08-05 12:00:00,64388.01,986.83874,183941
2026-08-05 13:00:00,64661.99,538.9344,146945
2026-08-05 14:00:00,64770.0,480.07544,105483
2026-08-05 15:00:00,64799.1,509.17226,106625
2026-08-05 16:00:00,64840.28,466.98679,76747
2026-08-05 17:00:00,64822.89,498.389,78084
2026-08-05 18:00:00,64733.13,467.37291,91175
2026-08-05 19:00:00,64636.0,271.07045,62596
2026-08-05 20:00:00,64665.23,561.00122,61783
2026-08-05 21:00:00,64644.99,476.9934,59311
2026-08-05 22:00:00,64580.07,393.9399,65744
2026-08-05 23:00:00,64579.36,432.25507,80019
2026-08-06 00:00:00,64531.03,197.99261,41546
2026-08-06 01:00:00,64734.65,354.38235,55726
2026-08-06 02:00:00,64908.09,515.23827,102709
2026-08-06 03:00:00,64860.0,233.29381,54964
2026-08-06 04:00:00,64809.7,679.84082,61360
2026-08-06 05:00:00,64941.99,323.50568,58606
2026-08-06 06:00:00,64683.62,404.08385,70981
2026-08-06 07:00:00,64615.95,207.8831,54295
2026-08-06 08:00:00,64622.09,372.14171,60335
2026-08-06 09:00:00,64424.0,336.45805,77320
2026-08-06 10:00:00,64434.01,870.19548,194478
2026-08-06 11:00:00,64778.0,781.12724,239608
2026-08-06 12:00:00,64631.87,772.83402,230032
2026-08-06 13:00:00,64757.99,370.31723,146790
2026-08-06 14:00:00,64621.69,293.75208,85461
2026-08-06 15:00:00,64418.47,347.29306,85459
2026-08-06 16:00:00,64446.0,449.59357,70813
2026-08-06 17:00:00,64439.7,195.47529,44904
2026-08-06 18:00:00,64440.74,249.73283,53362
2026-08-06 19:00:00,64351.49,210.70667,45081
2026-08-06 20:00:00,64323.61,395.39675,49047
2026-08-06 21:00:00,64317.99,285.45231,73994
2026-08-06 22:00:00,64422.55,351.02167,93301
2026-08-06 23:00:00,64399.87,388.69448,103153
2026-08-07 00:00:00,64289.99,199.96303,75419
2026-08-07 01:00:00,64255.13,222.89749,69543
2026-08-07 02:00:00,64336.43,321.20596,53841
2026-08-07 03:00:00,64304.12,452.26837,54841
2026-08-07 04:00:00,64319.84,382.39149,43588
2026-08-07 05:00:00,64600.0,433.22408,73835
2026-08-07 06:00:00,64839.32,917.15159,104331
2026-08-07 07:00:00,64893.98,362.71626,52293
2026-08-07 08:00:00,65029.98,652.67441,89434
2026-08-07 09:00:00,65292.32,1412.7636,181821
2026-08-07 10:00:00,65009.24,1271.25225,245147
2026-08-07 11:00:00,64957.98,982.58571,272120
2026-08-07 12:00:00,64912.72,468.0279,129409
2026-08-07 13:00:00,64814.0,485.33624,123985
2026-08-07 14:00:00,64764.33,603.65716,135316
2026-08-07 15:00:00,64735.51,225.44204,80410
2026-08-07 16:00:00,64960.47,398.55222,100397
2026-08-07 17:00:00,64972.0,238.49651,39503
2026-08-07 18:00:00,64928.01,187.58406,44821
2026-08-07 19:00:00,64888.0,304.11479,28154
2026-08-07 20:00:00,64923.19,259.93041,14727
2026-08-07 21:00:00,64929.01,432.5947,25634
2026-08-07 22:00:00,64911.79,283.12303,22019
2026-08-07 23:00:00,64923.97,317.46111,21324
2026-08-08 00:00:00,65033.0,277.39242,27377
