open_time,actual_range,predicted_range,baseline_range,model_error,baseline_error,hour_of_day,date,model_wins
2026-07-17 12:00:00-03:00,0.006207189357486523,0.00634880408578797,0.009390405345773128,0.0001416147283014469,0.003183215988286605,12,2026-07-17,1
2026-07-17 13:00:00-03:00,0.009902753885800792,0.004741412619177277,0.006207189357486523,0.005161341266623516,0.003695564528314269,13,2026-07-17,0
2026-07-17 14:00:00-03:00,0.007687396134406384,0.00714809611979083,0.009902753885800792,0.0005393000146155539,0.0022153577513944088,14,2026-07-17,1
2026-07-17 15:00:00-03:00,0.004341124175509129,0.005348276286013044,0.007687396134406384,0.001007152110503915,0.0033462719588972546,15,2026-07-17,1
2026-07-17 16:00:00-03:00,0.0036553337492201713,0.0053253927772545775,0.004341124175509129,0.0016700590280344062,0.0006857904262889576,16,2026-07-17,0
2026-07-17 17:00:00-03:00,0.002380439868975208,0.003901911192150677,0.0036553337492201713,0.001521471323175469,0.0012748938802449633,17,2026-07-17,0
2026-07-17 18:00:00-03:00,0.0038034882630575847,0.002995063992343105,0.002380439868975208,0.0008084242707144798,0.0014230483940823766,18,2026-07-17,1
2026-07-17 19:00:00-03:00,0.0019822726357688327,0.0033740455486883842,0.0038034882630575847,0.0013917729129195515,0.001821215627288752,19,2026-07-17,1
2026-07-17 20:00:00-03:00,0.0018316370948914704,0.0026214074159451855,0.0019822726357688327,0.000789770321053715,0.0001506355408773623,20,2026-07-17,0
2026-07-17 21:00:00-03:00,0.0017723959071179879,0.0020763838639078565,0.0018316370948914704,0.0003039879567898686,5.924118777348255e-05,21,2026-07-17,0
2026-07-17 22:00:00-03:00,0.0015954949700324535,0.0024470218749897284,0.0017723959071179879,0.0008515269049572749,0.0001769009370855344,22,2026-07-17,0
2026-07-17 23:00:00-03:00,0.0014011719233263274,0.0016307284103687302,0.0015954949700324535,0.00022955648704240284,0.0001943230467061261,23,2026-07-17,0
2026-07-18 00:00:00-03:00,0.001106178261971371,0.0016023481407592775,0.0014011719233263274,0.0004961698787879065,0.0002949936613549564,0,2026-07-18,0
